Subsector,Edgar_Class,simulation,Edgar_value,_merge,diff,Year
agrc,AG - Crops:CH4,0.0601162359587699,0.000226641,both,264.24872357062446,2015
agrc,AG - Crops:CO2,40.26997131528157,0.09585713,both,419.1040790109361,2015
agrc,AG - Crops:N2O,2.6213268939438374,1.038055189,both,1.5252288334197974,2015
entc,EN - Electricity/Heat:CH4,0.23837657911392704,0.004395555,both,53.23128117244058,2015
entc,EN - Electricity/Heat:CO2,23.61408590324003,3.297328035,both,6.161582242526268,2015
entc,EN - Electricity/Heat:N2O,0.08055545069343159,0.011222465,both,6.178053190046179,2015
fgtv,EN - Fugitive Emissions:CH4,2.305945354286217,1.046726716,both,1.203006113284508,2015
fgtv,EN - Fugitive Emissions:CO2,0.1352320252966842,1.392714613,both,-0.9029004046957003,2015
fgtv,EN - Fugitive Emissions:N2O,0.00061158936886,0.001680058,both,-0.6359712766702103,2015
frst,LULUCF - Forest Land:CH4,0.1204265871973548,,left_only,,2015
frst,LULUCF - Forest Land:CO2,1.5109141150234782,-6.547103826,both,-1.2307759515013803,2015
inen,EN - Manufacturing/Construction:CH4,0.0016617106017376773,0.003652548,both,-0.545054410855743,2015
inen,EN - Manufacturing/Construction:CO2,1.3982977159972885,2.148484414,both,-0.34917018392794885,2015
inen,EN - Manufacturing/Construction:N2O,0.00408533302449789,0.005203161,both,-0.21483632267041333,2015
ippu,IN - Industrial Processes:CH4,0.034993883867648,0.001673081,both,19.915833643229465,2015
ippu,IN - Industrial Processes:CO2,12.2927741887105,2.415890528,both,4.088299343963693,2015
ippu,IN - Industrial Processes:HFC,0.5482248735843638,0.514149197,both,0.06627585296873241,2015
ippu,IN - Industrial Processes:N2O,0.14138988874247171,0.946128602,both,-0.850559545030569,2015
ippu,IN - Industrial Processes:PFC,5.012633620058522e-06,0.0,both,inf,2015
ippu,IN - Industrial Processes:SF6,0.0,0.005375954,both,-1.0,2015
lndu,LULUCF - Deforestation:CH4,0.2928139949370789,,left_only,,2015
lndu,LULUCF - Deforestation:CO2,0.4215120639380556,0.060839526,both,5.9282601566957585,2015
lsmm,AG - Livestock:CH4,0.2583663599048849,1.682915592,both,-0.8464769349496377,2015
lsmm,AG - Livestock:N2O,0.1601822040807349,0.110192626,both,0.45365629167177585,2015
lvst,AG - Livestock:CH4,1.8384384253090402,1.682915592,both,0.09241273540297686,2015
scoe,EN - Building:CH4,0.0134632831788604,0.416708461,both,-0.9676913611339886,2015
scoe,EN - Building:CO2,10.827928767193121,2.726867007,both,2.9708312651102173,2015
scoe,EN - Building:N2O,0.0522389202142568,0.104121602,both,-0.49828931546542277,2015
soil,LULUCF - Organic Soil:CO2,0.279616490308435,0.092259474,both,2.030761808900352,2015
soil,LULUCF - Organic Soil:N2O,6.595247848051161,,left_only,,2015
trns,EN - Transportation:CH4,0.23707200977551587,0.013863209,both,16.100803268241567,2015
trns,EN - Transportation:CO2,21.57066383761516,5.885325138,both,2.6651609438430253,2015
trns,EN - Transportation:N2O,0.23600154184789093,0.058990353,both,3.0006802781446473,2015
trww,Waste - Wastewater Treatment:CH4,0.06850240394019955,0.441746003,both,-0.8449280729763624,2015
trww,Waste - Wastewater Treatment:N2O,0.5140160802853248,0.061427249,both,7.367883775575311,2015
waso,Waste - Solid Waste:CH4,0.4362795706320146,1.255624377,both,-0.6525397414835196,2015
waso,Waste - Solid Waste:CO2,0.2845918299564816,3.08606e-05,both,9220.850189448085,2015
waso,Waste - Solid Waste:N2O,0.0093369057881772,0.003034266,both,2.0771546687657576,2015
